City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
11,Kahului,US,78.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
22,Butaritari,KI,80.8,light rain,3.0707,172.7902,Isles Sunset Lodge
28,Katobu,ID,75.99,overcast clouds,-4.9408,122.5276,La Ode Husein
37,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
41,Kathu,TH,81.7,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
45,Burriana,ES,78.69,overcast clouds,39.889,-0.085,Hotel Beatriz
48,Mogadishu,SO,79.39,clear sky,2.0371,45.3438,Hotel Juba
56,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
58,San Policarpo,PH,80.53,overcast clouds,12.1791,125.5072,Agapita M. Nicart
62,Pochutla,MX,84.81,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
66,Carutapera,BR,82.24,overcast clouds,-1.195,-46.02,Lidera
68,Kapaa,US,76.19,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
69,Puerto Ayora,EC,75.16,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
79,Ponta Do Sol,PT,75.7,broken clouds,32.6667,-17.1,Hotel do Campo
82,Bengkulu,ID,76.78,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
83,Belmonte,BR,84.2,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
84,Saint George,US,79.27,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
90,Atuona,PF,79.05,clear sky,-9.8,-139.0333,Villa Enata
95,Samarai,PG,82.36,overcast clouds,-10.6167,150.6667,Nuli Sapi
100,Tautira,PF,80.62,overcast clouds,-17.7333,-149.15,Pension Oaoa
103,Braco Do Norte,BR,78.57,overcast clouds,-28.275,-49.1656,Costa Nobre Hotel
105,Sao Filipe,CV,80.02,overcast clouds,14.8961,-24.4956,Hotel Xaguate
115,Banda Aceh,ID,78.94,overcast clouds,5.5577,95.3222,Sulthan Hotel International
119,Hithadhoo,MV,82.51,overcast clouds,-0.6,73.0833,Scoop Guest House
121,Petauke,ZM,80.62,clear sky,-14.2426,31.3253,Newline Lodge
123,Mataram,ID,79.61,overcast clouds,-8.5833,116.1167,Hotel Santika Mataram
136,Phan Thiet,VN,76.51,overcast clouds,10.9333,108.1,Hotel Saigon-PT
141,Hilo,US,80.26,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
143,Kununurra,AU,76.98,clear sky,-15.7667,128.7333,Hotel Kununurra
151,Maragogi,BR,80.64,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
157,Kavieng,PG,81.91,light rain,-2.5744,150.7967,Nusa Island Retreat
158,Adzope,CI,75.63,broken clouds,6.1069,-3.8619,Hôtel AKL
165,Kavaratti,IN,81.46,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
169,Isabela,PH,78.85,overcast clouds,6.7085,121.9711,Isawad Resort
175,Alugan,PH,79.97,overcast clouds,12.2188,125.4808,JM Lodge
179,Praxedis Guerrero,MX,78.28,overcast clouds,31.3667,-106.0167,Congregación placitas de Otero
187,Nova Olimpia,BR,78.67,overcast clouds,-14.7972,-57.2881,Motel glamour
190,Sao Joao Da Barra,BR,77.09,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
191,Kuching,MY,77.22,moderate rain,1.55,110.3333,The Ranee Boutique Suites
192,George Town,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
194,Atambua,ID,75.29,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
200,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
202,Bilma,NE,84.18,clear sky,18.6853,12.9164,Expeditions Ténére voyages
204,Mahajanga,MG,77.02,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
218,Sola,VU,80.31,few clouds,-13.8833,167.55,Leumerus Bungalows
220,Gouyave,GD,84.97,few clouds,12.1646,-61.7296,Rumboat Retreat
222,Ambulu,ID,76.71,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
223,Lorengau,PG,81.39,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
226,Chikodi,IN,76.98,overcast clouds,16.4333,74.6,Hotel Nisarga Palace
227,Dicabisagan,PH,77.52,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
240,Madang,PG,77.58,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
243,Mahibadhoo,MV,83.08,few clouds,3.7833,72.9667,Omadhoo Inn
245,Vung Tau,VN,80.64,scattered clouds,10.346,107.0843,Green hotel
248,Alibag,IN,82.47,clear sky,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
251,Sulangan,PH,82.31,few clouds,11.1373,123.7228,Maia's Beach Resort
254,Quelimane,MZ,78.75,few clouds,-17.8786,36.8883,Hotel Flamingo
257,Mount Isa,AU,78.57,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
259,Port Moresby,PG,76.37,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
261,Camargo,MX,79.56,clear sky,27.6667,-105.1667,Hotel Santa Fe
273,Bontang,ID,79.41,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
285,Salalah,OM,78.46,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
301,Faanui,PF,78.6,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
302,Itarema,BR,84.02,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
307,Balabac,PH,81.63,light rain,7.9868,117.0645,Sing and Swing Lodge
308,Victoria,HK,76.32,light rain,22.2855,114.1577,Mini Hotel Central
312,Santa Rosa,PH,81.09,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
