City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,53.71,50,0,9.22,clear sky
1,Qaanaaq,GL,77.484,-69.3632,11.91,65,100,9.4,overcast clouds
2,Ushuaia,AR,-54.8,-68.3,56.86,41,0,0.0,clear sky
3,Cape Town,ZA,-33.9258,18.4232,65.08,70,20,5.75,few clouds
4,Constitucion,CL,-35.3333,-72.4167,59.14,76,100,5.32,overcast clouds
5,Tezu,IN,27.9167,96.1667,68.54,51,94,3.94,overcast clouds
6,Vagamo,NO,61.8751,9.0967,38.5,87,100,3.36,overcast clouds
7,Dali,CN,25.7,100.1833,51.8,87,0,3.76,clear sky
8,Hastings,GB,50.8552,0.5729,55.15,62,2,29.53,clear sky
9,Albany,US,42.6001,-73.9662,60.94,80,100,11.03,overcast clouds
10,Pacific Grove,US,36.6177,-121.9166,64.58,70,1,4.0,clear sky
11,Kahului,US,20.8947,-156.47,78.84,67,1,0.0,clear sky
12,Boa Vista,BR,2.8197,-60.6733,94.98,38,75,6.91,broken clouds
13,Mahebourg,MU,-20.4081,57.7,73.69,78,75,3.44,broken clouds
14,Souillac,MU,-20.5167,57.5167,73.78,78,75,3.44,broken clouds
15,Busselton,AU,-33.65,115.3333,53.04,80,94,18.79,overcast clouds
16,Aklavik,CA,68.2191,-135.0107,34.52,93,75,2.3,broken clouds
17,Beringovskiy,RU,63.05,179.3167,6.71,93,100,12.48,overcast clouds
18,Port Elizabeth,ZA,-33.918,25.5701,64.69,94,0,12.66,clear sky
19,Hobart,AU,-42.8794,147.3294,55.26,62,100,1.01,overcast clouds
20,Mataura,NZ,-46.1927,168.8643,44.4,72,98,2.59,overcast clouds
21,Saint Anthony,US,45.0205,-93.218,49.24,53,40,4.0,scattered clouds
22,Butaritari,KI,3.0707,172.7902,80.8,79,58,9.69,light rain
23,Fort Nelson,CA,58.8053,-122.7002,24.39,58,40,5.75,scattered clouds
24,Belyy Gorodok,RU,56.965,37.5125,42.48,82,10,9.01,clear sky
25,Chakradharpur,IN,22.7,85.6333,68.2,78,5,2.35,clear sky
26,Krasnoborsk,RU,61.5598,45.934,40.91,93,100,5.97,light rain
27,Leningradskiy,RU,69.3833,178.4167,0.37,93,100,10.02,overcast clouds
