City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Necochea,AR,2021-10-28 18:37:57,-38.5473,-58.7368,86.86,41,80,11.36
1,Ushuaia,AR,2021-10-28 18:37:58,-54.8,-68.3,62.26,31,20,16.11
2,Cape Town,ZA,2021-10-28 18:37:15,-33.9258,18.4232,66.09,71,0,1.99
3,Tura,IN,2021-10-28 18:33:59,25.5198,90.2201,67.08,91,0,3.91
4,Rikitea,PF,2021-10-28 18:37:58,-23.1203,-134.9692,75.2,81,96,13.11
5,Komsomolskiy,UZ,2021-10-28 18:37:59,40.4272,71.7189,50.72,57,100,4.61
6,Atuona,PF,2021-10-28 18:37:59,-9.8,-139.0333,78.15,70,0,16.26
7,Kamenka,RU,2021-10-28 18:37:59,51.3223,42.7678,44.33,92,100,10.31
8,Acapulco,MX,2021-10-28 18:34:55,16.8634,-99.8901,87.62,70,40,2.3
9,Luanda,AO,2021-10-28 18:38:00,-8.8368,13.2343,77.0,83,40,11.5
10,Vaini,TO,2021-10-28 18:38:00,-21.2,-175.2,73.56,83,75,6.91
11,Norman Wells,CA,2021-10-28 18:38:01,65.282,-126.8329,21.24,86,90,3.44
12,Bima,ID,2021-10-28 18:38:01,-8.4667,118.7167,78.37,87,58,2.91
13,Srivardhan,IN,2021-10-28 18:38:01,18.0333,73.0167,75.78,68,31,5.61
14,Porto Murtinho,BR,2021-10-28 18:38:02,-21.6989,-57.8825,101.75,25,37,4.18
15,Klaksvik,FO,2021-10-28 18:38:03,62.2266,-6.589,49.12,89,23,21.0
16,Paamiut,GL,2021-10-28 18:38:03,61.994,-49.6678,33.4,70,100,18.95
17,Ust-Koksa,RU,2021-10-28 18:38:03,50.2696,85.6108,33.19,94,62,2.55
18,Damietta,EG,2021-10-28 18:38:04,31.4165,31.8133,76.89,75,100,16.71
19,Namibe,AO,2021-10-28 18:38:04,-15.1961,12.1522,67.12,72,5,10.29
20,Longyearbyen,SJ,2021-10-28 18:38:05,78.2186,15.6401,17.44,73,0,6.91
21,Ponta Do Sol,PT,2021-10-28 18:38:05,32.6667,-17.1,72.23,72,100,7.07
22,Nanhai,CN,2021-10-28 18:38:05,30.1282,111.7784,62.98,61,95,4.81
23,Ishigaki,JP,2021-10-28 18:38:06,24.3448,124.1572,74.57,68,100,18.48
24,Bedesa,ET,2021-10-28 18:38:06,8.9,40.7833,62.08,35,3,4.72
25,Mehamn,NO,2021-10-28 18:38:07,71.0357,27.8492,30.38,86,75,16.11
26,Talnakh,RU,2021-10-28 18:33:13,69.4865,88.3972,-5.64,96,100,9.28
27,Yellowknife,CA,2021-10-28 18:38:07,62.456,-114.3525,35.42,100,90,0.0
28,Nikolskoye,RU,2021-10-28 18:37:24,59.7035,30.7861,46.87,87,100,8.43
29,New Norfolk,AU,2021-10-28 18:38:07,-42.7826,147.0587,47.75,78,100,4.0
30,Lyubinskiy,RU,2021-10-28 18:38:08,55.1542,72.6925,38.88,52,15,17.02
31,Alofi,NU,2021-10-28 18:38:08,-19.0595,-169.9187,69.69,94,5,3.44
32,Batagay,RU,2021-10-28 18:38:08,67.6333,134.6333,14.34,91,100,3.22
33,Bengkulu,ID,2021-10-28 18:38:07,-3.8004,102.2655,77.4,85,100,2.37
34,Castro,BR,2021-10-28 18:38:09,-24.7911,-50.0119,69.37,80,85,9.04
35,Ulladulla,AU,2021-10-28 18:38:09,-35.35,150.4667,63.88,58,32,6.2
36,Half Moon Bay,US,2021-10-28 18:38:09,37.4636,-122.4286,75.29,65,1,16.11
37,Port Elizabeth,ZA,2021-10-28 18:38:10,-33.918,25.5701,69.1,94,40,4.61
38,Port Alfred,ZA,2021-10-28 18:38:10,-33.5906,26.891,67.46,96,100,0.2
39,Mataura,NZ,2021-10-28 18:38:10,-46.1927,168.8643,50.59,92,17,2.82
40,Maunabo,PR,2021-10-28 18:38:11,18.0072,-65.8993,91.22,74,0,6.2
41,Micheweni,TZ,2021-10-28 18:38:11,-4.9667,39.8333,78.51,79,99,10.22
42,Hermanus,ZA,2021-10-28 18:38:11,-34.4187,19.2345,62.91,91,10,3.2
43,Starkville,US,2021-10-28 18:36:41,33.4504,-88.8184,60.78,78,100,11.59
44,Kavieng,PG,2021-10-28 18:38:12,-2.5744,150.7967,82.09,76,60,9.37
45,Inhambane,MZ,2021-10-28 18:38:12,-23.865,35.3833,67.82,64,14,8.59
46,Bosaso,SO,2021-10-28 18:38:12,11.2842,49.1816,80.44,62,0,5.19
47,Qingdao,CN,2021-10-28 18:38:13,36.0986,120.3719,49.6,93,100,4.47
48,Hobart,AU,2021-10-28 18:35:31,-42.8794,147.3294,48.11,95,90,3.0
49,Kota Belud,MY,2021-10-28 18:38:13,6.351,116.4305,75.06,87,76,4.81
50,Khatanga,RU,2021-10-28 18:38:14,71.9667,102.5,-2.69,97,100,8.81
